support_tick_id,support_ticket_text,combined_text,zero_shot_top3,few_shot_top3,zero_top1,few_top1
ST2023-016,I accidentally formatted my USB drive with critical work files. Can you guide me through the data recovery process to retrieve these files?,I accidentally formatted my USB drive with critical work files. Can you guide me through the data recovery process to retrieve these files?,"[('Complaint', 0.3249446153640747), ('Feature Request', 0.2134350687265396), ('Technical Bug', 0.11328011751174927)]","[('Complaint', 0.394978791475296), ('Account Access', 0.12079329043626785), ('Technical Bug', 0.11911366879940033)]",Complaint,Complaint
ST2023-017,"My computer's screen has gone black, and I can't seem to fix it. Urgent assistance needed to get it up and running.","My computer's screen has gone black, and I can't seem to fix it. Urgent assistance needed to get it up and running.","[('Complaint', 0.3819340765476227), ('Technical Bug', 0.18590953946113586), ('Feature Request', 0.1390950083732605)]","[('Complaint', 0.28683575987815857), ('Technical Bug', 0.2724026143550873), ('Account Access', 0.11801738291978836)]",Complaint,Complaint
ST2023-018,"I accidentally spilled water on my laptop, and it won't turn on. Can you help me assess the damage and recover my data?","I accidentally spilled water on my laptop, and it won't turn on. Can you help me assess the damage and recover my data?","[('Complaint', 0.3150400221347809), ('Refund Request', 0.16475233435630798), ('Feature Request', 0.15052369236946106)]","[('Complaint', 0.29261162877082825), ('Account Access', 0.16402336955070496), ('Technical Bug', 0.14675451815128326)]",Complaint,Complaint
ST2023-019,"My USB flash drive is physically damaged, and I need assistance in recovering critical files from it.","My USB flash drive is physically damaged, and I need assistance in recovering critical files from it.","[('Complaint', 0.37884634733200073), ('Feature Request', 0.17325633764266968), ('Delivery Issue', 0.11385637521743774)]","[('Complaint', 0.3675658404827118), ('Account Access', 0.12981222569942474), ('Technical Bug', 0.11583132296800613)]",Complaint,Complaint
ST2023-020,"The touchpad on my laptop has stopped working, making it difficult to use. Can you help me troubleshoot this hardware issue?","The touchpad on my laptop has stopped working, making it difficult to use. Can you help me troubleshoot this hardware issue?","[('Complaint', 0.4475516676902771), ('Feature Request', 0.14516152441501617), ('Technical Bug', 0.1123688742518425)]","[('Complaint', 0.3871297538280487), ('Technical Bug', 0.17816683650016785), ('Account Access', 0.13033729791641235)]",Complaint,Complaint
ST2023-021,"My internet connection is frequently dropping, affecting my work. Urgent help needed.","My internet connection is frequently dropping, affecting my work. Urgent help needed.","[('Complaint', 0.5483945608139038), ('Technical Bug', 0.11054416000843048), ('Delivery Issue', 0.07646305114030838)]","[('Complaint', 0.35692864656448364), ('Technical Bug', 0.1672516167163849), ('Subscription Problem', 0.10222413390874863)]",Complaint,Complaint
ST2023-022,Wi-Fi is inconsistent despite proximity to the router. This is affecting my work. Help needed.,Wi-Fi is inconsistent despite proximity to the router. This is affecting my work. Help needed.,"[('Complaint', 0.6367841958999634), ('Technical Bug', 0.07869864255189896), ('Feature Request', 0.07698182016611099)]","[('Complaint', 0.41648778319358826), ('Technical Bug', 0.20624737441539764), ('Account Access', 0.1012229472398758)]",Complaint,Complaint
ST2023-023,I accidentally formatted my USB drive with crucial files. Help needed for data recovery.,I accidentally formatted my USB drive with crucial files. Help needed for data recovery.,"[('Complaint', 0.2815427780151367), ('Technical Bug', 0.17570452392101288), ('Delivery Issue', 0.1732073575258255)]","[('Complaint', 0.32658684253692627), ('Technical Bug', 0.2002439796924591), ('Account Access', 0.12010854482650757)]",Complaint,Complaint
ST2023-024,"My external hard drive isn't being recognized, and I need assistance recovering vital data.","My external hard drive isn't being recognized, and I need assistance recovering vital data.","[('Complaint', 0.36333829164505005), ('Feature Request', 0.17029260098934174), ('Account Access', 0.13255247473716736)]","[('Complaint', 0.34776201844215393), ('Account Access', 0.15420037508010864), ('Technical Bug', 0.12949953973293304)]",Complaint,Complaint
ST2023-025,"I am experiencing a critical problem with my internet connection over the past 24 hours. My internet speed has significantly slowed down, and I'm encountering frequent disconnections. This has made it nearly impossible for me to work from home effectively. I have tried restarting my router, but the issue persists.I rely heavily on a stable internet connection for my job, and this problem is causing substantial productivity loss. It's imperative to have this issue resolved promptly. I would greatly appreciate your urgent assistance in diagnosing and resolving this connectivity problem.I rely heavily on a stable internet connection for my job, and this problem is causing substantial productivity loss. It's imperative to have this issue resolved promptly. I would greatly appreciate your urgent assistance in diagnosing and resolving this connectivity problem.","I am experiencing a critical problem with my internet connection over the past 24 hours. My internet speed has significantly slowed down, and I'm encountering frequent disconnections. This has made it nearly impossible for me to work from home effectively. I have tried restarting my router, but the issue persists.I rely heavily on a stable internet connection for my job, and this problem is causing substantial productivity loss. It's imperative to have this issue resolved promptly. I would greatly appreciate your urgent assistance in diagnosing and resolving this connectivity problem.I rely heavily on a stable internet connection for my job, and this problem is causing substantial productivity loss. It's imperative to have this issue resolved promptly. I would greatly appreciate your urgent assistance in diagnosing and resolving this connectivity problem.","[('Complaint', 0.3412972092628479), ('Feature Request', 0.12912717461585999), ('Technical Bug', 0.11271292716264725)]","[('Complaint', 0.5010518431663513), ('Technical Bug', 0.09303272515535355), ('Account Access', 0.0851682648062706)]",Complaint,Complaint
ST2023-026,"I hope this message finds you well. I am writing to report a perplexing issue I've encountered with my work computer in recent days. 
The problem seems to involve a combination of unusual software behavior and unexpected data loss.
Over the past week, I've observed that certain software applications on my computer have been 
behaving erratically. For example, some applications freeze randomly, while others exhibit unexplained crashes. Additionally, 
I've noticed that some files and documents that were previously saved on my desktop have mysteriously 
disappeared. These issues are causing significant disruptions to my daily tasks and workflow.
While I don't have specific instructions on how to resolve this complex problem,
I suspect there may be an underlying issue with the system or software compatibility. 
I kindly request your expertise and assistance in thoroughly diagnosing this intricate problem. 
Your insights and guidance would be greatly appreciated. If you require any additional information 
or access to my computer for remote diagnostics, please do not hesitate to let me know.
I understand that this issue may require some time and effort to address, and I am fully prepared 
to cooperate and provide any necessary information to facilitate the resolution process. Thank you in advance for your attention to this matter, and I look forward to your response.","I hope this message finds you well. I am writing to report a perplexing issue I've encountered with my work computer in recent days. 
The problem seems to involve a combination of unusual software behavior and unexpected data loss.
Over the past week, I've observed that certain software applications on my computer have been 
behaving erratically. For example, some applications freeze randomly, while others exhibit unexplained crashes. Additionally, 
I've noticed that some files and documents that were previously saved on my desktop have mysteriously 
disappeared. These issues are causing significant disruptions to my daily tasks and workflow.
While I don't have specific instructions on how to resolve this complex problem,
I suspect there may be an underlying issue with the system or software compatibility. 
I kindly request your expertise and assistance in thoroughly diagnosing this intricate problem. 
Your insights and guidance would be greatly appreciated. If you require any additional information 
or access to my computer for remote diagnostics, please do not hesitate to let me know.
I understand that this issue may require some time and effort to address, and I am fully prepared 
to cooperate and provide any necessary information to facilitate the resolution process. Thank you in advance for your attention to this matter, and I look forward to your response.","[('Complaint', 0.28881052136421204), ('Feature Request', 0.15580794215202332), ('Technical Bug', 0.13489408791065216)]","[('Complaint', 0.23844535648822784), ('Account Access', 0.13498826324939728), ('Password Reset', 0.1254650354385376)]",Complaint,Complaint
